Group	Year	Month	Day	Time	End Year	End Month	End Day	End Time	Display Date	Evaluation	Title	InCharge	Checker	Checked	林コメント/修正案	URL	Image URL	Image Credit	Type	Color
世の中	2012	5	22							1	東京スカイツリー開業	西尾	高橋	1		https://ja.wikipedia.org/wiki/%E6%9D%B1%E4%BA%AC%E3%82%B9%E3%82%AB%E3%82%A4%E3%83%84%E3%83%AA%E3%83%BC			1	
世の中	2012	7	27							1	ロンドンオリンピック開幕	西尾	高橋	1		https://ja.wikipedia.org/wiki/2012%E5%B9%B4%E3%83%AD%E3%83%B3%E3%83%89%E3%83%B3%E3%82%AA%E3%83%AA%E3%83%B3%E3%83%94%E3%83%83%E3%82%AF			1	
IT	2000	7								1	NTT東西、ISDN定額通信サービス開始	中山	高橋	?	高橋：裏取れず　情報通信白書に記載がありました（小屋）https://www.soumu.go.jp/johotsusintokei/whitepaper/ja/h13/html/D1114000.htm	https://ja.wikipedia.org/wiki/INS%E3%83%8D%E3%83%83%E3%83%88				
IT	2000	7	18							0	INET 2000開催	中山				https://web.archive.org/web/20160102204002/http://www.isoc.org/inet2000/				
IT	2000	9	12							1	Google日本語検索サービス開始	中山	高橋	1		https://atmarkit.itmedia.co.jp/news/200009/15/google.html				
IT	2000	9	18							1	国内初IPv6ネイティブ接続サービス開始(NTTコミュニケーションズ）	中山	高橋	1		https://www.bcm.co.jp/site/2007/10/tamatebako/ntt-com/0710-ntt-com.html				
IT	2000	12	26							1	フレッツADSL本格提供開始（NTT東日本）	中山	高橋	1		https://www.ntt-east.co.jp/release/0012/001212.html				
IT	2000	12	31							0	インターネット博覧会開幕	中山				https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88%E5%8D%9A%E8%A6%A7%E4%BC%9A				
IT	2000	3								1	移動電話が固定電話を抜く	丸山	高橋	1		https://www.soumu.go.jp/johotsusintokei/whitepaper/ja/h27/html/nc111220.html				
IT	2000	6	21							0	東芝　ワープロ事業からの撤退を発表	丸山			撤退発表は不明	https://ja.wikipedia.org/wiki/%E3%83%AF%E3%83%BC%E3%83%89%E3%83%97%E3%83%AD%E3%82%BB%E3%83%83%E3%82%B5				
政府機関	2000	7	21							0	九州沖縄サミット開催	丸山				https://ja.wikipedia.org/wiki/%E7%AC%AC26%E5%9B%9E%E4%B8%BB%E8%A6%81%E5%9B%BD%E9%A6%96%E8%84%B3%E4%BC%9A%E8%AD%B0				
IT	2000	10	1							0	DDI・KDD・IDOが合併 KDDI発足	丸山				https://ja.wikipedia.org/wiki/KDDI				
IT	2000	10	12							1	日本初のネット専用銀行「ジャパンネット銀行」営業開始	丸山	高橋	1		https://ja.wikipedia.org/wiki/PayPay%E9%8A%80%E8%A1%8C				
IT	2001	3	1							1	国内初の家庭向けFTTHサービス開始	中山	高橋	1		https://bb.watch.impress.co.jp/news/2001/08/09/k-opti.htm				
IT	2001	5	20							0	ウィキペディア日本語版開設	中山				https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A3%E3%82%AD%E3%83%9A%E3%83%87%E3%82%A3%E3%82%A2%E6%97%A5%E6%9C%AC%E8%AA%9E%E7%89%88				
IT	2001	10								0	W-CDMA方式第三世代携帯電話サービス開始	中山				https://ja.wikipedia.org/wiki/%E7%AC%AC3%E4%B8%96%E4%BB%A3%E7%A7%BB%E5%8B%95%E9%80%9A%E4%BF%A1%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0				
IT	2001	10	23							1	iPod発表	中山	高橋	1		https://ja.wikipedia.org/wiki/IPod				
IT	2001	11	16							1	WindowsXP発売（リテール向け）	中山	高橋	1		https://ja.wikipedia.org/wiki/Microsoft_Windows_XP				
IT	2001	11	18							1	JR東日本Suicaサービス開始	中山	高橋	1		https://ja.wikipedia.org/wiki/Suica				
IT	2001									0	CDN（Content Delivery Network）が普及	丸山			磁気不明	https://ja.wikipedia.org/wiki/%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84%E3%83%87%E3%83%AA%E3%83%90%E3%83%AA%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF				
IT	2002	1								1	学術情報ネットワークSINET2（スーパーSINET）運用開始	中山	高橋	1		https://ja.wikipedia.org/wiki/SINET	https://www.sinet.ad.jp/aboutsinet/history			
IT	2002	4	1							0	CDMA2000 1X方式第三世代携帯電話サービス開始	中山				https://ja.wikipedia.org/wiki/CDMA2000				
IT	2002	8	5							1	住民基本台帳ネットワーク運用開始	中山	高橋	1		https://ja.wikipedia.org/wiki/%E4%BD%8F%E6%B0%91%E5%9F%BA%E6%9C%AC%E5%8F%B0%E5%B8%B3%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0				
IT	2002	9	27							1	IP電話050局番割り当て開始	中山	高橋	1		https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E3%81%AEIP%E9%9B%BB%E8%A9%B1				
IT	2002	11	1							1	カメラ付き携帯電話「写メール」登場	中山	高橋	1	高橋：写メール登場に変更	https://ja.wikipedia.org/wiki/%E5%86%99%E3%83%A1%E3%83%BC%E3%83%AB				
IT	2003	10								0	9月末日　ブロードバンドユーザ1,200万加入突破	持田				https://internet.watch.impress.co.jp/cda/news/2003/10/31/978.html				
IT	2003	3								1	JPCERT/CC法人化	持田	高橋	1		https://ja.wikipedia.org/wiki/JPCERT/CC				
IT	2003	1	7							0	JPドメイン名の登録数50万件突破	持田				https://www.nic.ad.jp/ja/topics/2003/20030108-01.html				
IT	2004	2	4							1	Facebookサービス開始	唐沢	高橋	1		https://ja.wikipedia.org/wiki/Facebook	https://en.wikipedia.org/wiki/Facebook			
IT	2004	3	3							1	ソーシャル・ネットワーキング サービス『mixi』の運営開始（一般リリース）	持田	高橋	1		https://ja.wikipedia.org/wiki/Mixi	https://u-ful.com/20855			
IT	2004	5	9							1	P2Pファイル共有ソフトウェア「Winny」開発者が逮捕される(後に最高裁で無罪が確定)	持田	高橋	1		https://ja.wikipedia.org/wiki/Winny	https://www.itmedia.co.jp/news/articles/0405/10/news008.html			
IT	2004	9	1							0	NTT東日本が「ひかり電話」サービス開始	持田			ひかり電話が良いのか？	https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AC%E3%83%83%E3%83%84#%E3%81%B2%E3%81%8B%E3%82%8A%E9%9B%BB%E8%A9%B1				
IT	2005	2	15							1	YouTube設立（サービス開始？）	持田	高橋	1		https://ja.wikipedia.org/wiki/YouTube				
IT	2005	6	1							0	JPドメイン名の登録数70万件突破	持田				https://jprs.co.jp/press/2005/050601.html				
IT	2005	4								0	JPCERT/CCが早期警戒業務を開始	持田			年までしか藁数					
	2005	11	1							1	11月1日 　東京証券取引所システム障害	持田								
IT	2006	7	15							1	Twitterがサービス開始	西尾	高橋	1		https://ja.wikipedia.org/wiki/Twitter				
IT	2006	12	12							1	ニコニコ動画サービス開始	西尾	高橋	1		https://ja.wikipedia.org/wiki/%E3%83%8B%E3%82%B3%E3%83%8B%E3%82%B3%E5%8B%95%E7%94%BB				
IT	2007	6	29							1	iPhone発売開始	西尾	高橋	1		https://ja.wikipedia.org/wiki/IPhone				
IT	2008	9	23							1	Androidスマートフォン発売(HTC Dream)	丸山	高橋	1		https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88%E3%83%95%E3%82%A9%E3%83%B3	https://ja.wikipedia.org/wiki/HTC_Dream	https://en.wikipedia.org/wiki/HTC_Dream		
IT	2007	8	31							1	初音ミク活動開始	丸山	高橋	1		https://ja.wikipedia.org/wiki/%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF				
IT	2008	4	23							0	日本版Twitterがサービス開始	西尾				https://ja.wikipedia.org/wiki/Twitter#%E6%97%A5%E6%9C%AC%E5%B8%82%E5%A0%B4%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B%E5%B1%95%E9%96%8B				
IT	2008	5	19							0	日本版Facebookがサービス開始	西尾				https://ja.wikipedia.org/wiki/Facebook#%E6%97%A5%E6%9C%AC				
IT	2012	6	20							1	ファーストサーバのデータロスト	高橋	高橋	1		https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%83%BC%E3%82%B9%E3%83%88%E3%82%B5%E3%83%BC%E3%83%90			1	
IT	2000	1	1							1	西暦2000年（Y2K）問題	中山	高橋	1		https://ja.wikipedia.org/wiki/2000%E5%B9%B4%E5%95%8F%E9%A1%8C				
セキュリティ	2000	1								1	中央省庁Webサイト連続不正アクセス	中山	丸山			https://www.jpcert.or.jp/tips/2007/wr071801.html	http://www.kogures.com/hitoshi/history/virus-2000-web-kaizan/index.html			
セキュリティ	2000	3	2							1	Playstation.com、設計上の問題で顧客情報流出	中山	丸山			https://ja.wikipedia.org/wiki/PlayStation_Network%E5%80%8B%E4%BA%BA%E6%83%85%E5%A0%B1%E6%B5%81%E5%87%BA%E4%BA%8B%E4%BB%B6				
セキュリティ	2000	7								0	JIS X 5070制定	中山				https://ja.wikipedia.org/wiki/%E3%82%B3%E3%83%A2%E3%83%B3%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%86%E3%83%AA%E3%82%A2				
セキュリティ	2000	5								1	LOVELETTERウィルス流行	中山	丸山			https://ja.wikipedia.org/wiki/LOVELETTER				
セキュリティ	2013	6								1	米NSA「ECHLON／PRISM盗聴疑惑」	中山	丸山		2000年を2013/6月に修正？（高橋）	https://ja.wikipedia.org/wiki/PRISM_(%E7%9B%A3%E8%A6%96%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%A0)				
セキュリティ	2000									0	企業Webサイト顧客情報漏洩多発	中山			わからない。。。					
セキュリティ	2000	5								1	「I LOVE YOU」ウイルス流行	丸山	丸山		5月を追加（高橋）	https://ja.wikipedia.org/wiki/LOVELETTER				
セキュリティ	2000	2								1	Yahoo!、Amazon、eBayなどが大規模なDDoS攻撃によりダウン	丸山	丸山			https://www.jpcert.or.jp/tips/2007/wr072401.html				
セキュリティ	2000									1	米NSIが運営するレジストリに不正侵入、アドレスが書き換えられる	丸山	丸山		JNSA以外には見つからず（高橋）	https://www.jpcert.or.jp/magazine/chronology/				
セキュリティ	2000									1	ワームのMyDoomが世界全体のインターネット接続速度を10％低下	丸山	丸山		2004年？	https://www.eweek.com/security/mydoom-slows-web-performance/	https://www.spamfighter.com/News-15735-MyDoom-the-Greatest-Damaging-Malicious-Program-During-Past-10-Years.htm	https://en.wikipedia.org/wiki/Mydoom		
セキュリティ	2000	11								0	Hybris（感染メールを発信するトロイ。機能拡張が可能）	丸山								
セキュリティ	2000	11								1	迷惑メール対策としてiモード利用者向けに電子メールの着信拒否機能	丸山	丸山		ニュースなど発見できず					
セキュリティ	2000	11								0	MTX（メールを独自に発信するトロイの木馬）	丸山								
セキュリティ	2000	9								1	パレスチナとイスラエルとの紛争、インターネット上にも波及	丸山	丸山			https://www2.jiia.or.jp/pdf/ampo/h13_ampo/6.pdf				
セキュリティ	2000									1	ISMSが国際規格 ISO/IEC17799 として制定される	丸山	丸山		ISMSの国際規格（ISO/IEC17799）の制定	＃用語はある程度マニアックでもOK、規格は「○○の制定」とする	ISO/IEC17799 /2000	https://www2.iisec.ac.jp/proc/vol0006/harada14.pdf		
